Rank,Athlete,Distance,Runs,Longest,Elevation,Pace
1,Kayden SCHUMACHER,64.2 km,5,21.1 km,480 m,4:45 /km
2,Alexander BROWN,52.8 km,4,16.5 km,350 m,5:10 /km
3,Joshua SAVAGE,48.5 km,4,15.0 km,310 m,4:55 /km
4,Quinn DAVIS,42.0 km,3,14.2 km,290 m,5:05 /km
5,Adrian PLATT,38.4 km,4,10.5 km,210 m,5:35 /km
6,Samir PATEL,35.0 km,3,12.0 km,190 m,5:20 /km
7,Liam O'CONNOR,31.2 km,3,10.0 km,160 m,5:40 /km
8,Marcus REID,28.6 km,3,10.0 km,140 m,5:50 /km
9,Daniel EVANS,24.5 km,2,12.5 km,120 m,5:30 /km
10,Oliver TAYLOR,21.0 km,2,10.5 km,110 m,5:45 /km
11,Ben WRIGHT,18.5 km,2,10.0 km,95 m,6:00 /km
12,Chris MARTIN,15.0 km,2,7.5 km,80 m,6:15 /km
13,James WILSON,12.5 km,1,12.5 km,70 m,5:55 /km
14,Thomas HALL,10.0 km,1,10.0 km,50 m,6:10 /km
15,David GREEN,8.5 km,1,8.5 km,45 m,6:30 /km
